Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Amazon URL (product.metafields.custom.amazon_url),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Audio purpose (product.metafields.shopify.audio-purpose),Baby gift items included (product.metafields.shopify.baby-gift-items-included),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Calendar format (product.metafields.shopify.calendar-format),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Connectivity technology (product.metafields.shopify.connectivity-technology),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Cosmetic function (product.metafields.shopify.cosmetic-function),Cover material (product.metafields.shopify.cover-material),Decoration material (product.metafields.shopify.decoration-material),Dinnerware pieces included (product.metafields.shopify.dinnerware-pieces-included),Dispenser type (product.metafields.shopify.dispenser-type),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Filler material (product.metafields.shopify.filler-material),Flavor (product.metafields.shopify.flavor),Material (product.metafields.shopify.material),Mounting type (product.metafields.shopify.mounting-type),Neckline (product.metafields.shopify.neckline),Occasion (product.metafields.shopify.occasion),Package type (product.metafields.shopify.package-type),Paint type (product.metafields.shopify.paint-type),Power source (product.metafields.shopify.power-source),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Scarf/Shawl style (product.metafields.shopify.scarf-shawl-style),Scent (product.metafields.shopify.scent),Season (product.metafields.shopify.season),Shape (product.metafields.shopify.shape),Size (product.metafields.shopify.size),Skin care effect (product.metafields.shopify.skin-care-effect),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Speaker design (product.metafields.shopify.speaker-design),Speaker features (product.metafields.shopify.speaker-features),Speaker technology (product.metafields.shopify.speaker-technology),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Tableware material (product.metafields.shopify.tableware-material),Target gender (product.metafields.shopify.target-gender),Vase shape (product.metafields.shopify.vase-shape),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
andes-charcoal-baby-alpaca-scarf,Andes Charcoal Baby Alpaca Scarf,"<p><meta charset=""utf-8""><span>This unisex baby alpaca scarf can be worn multiple ways and is the perfect accessory for layering on cold evenings. Alpaca fiber is considered by the fashion industry to be one the greenest, most natural, and luxurious fibers in the world. This fiber comes from small artisanal farmers in the Peruvian highlands who work by traditional farming methods and a close eye is kept on sustainability. </span></p>
<p><span>In the earliest Peruvian history, you will find examples of the bond between the Incas and alpaca. The Incas placed a higher value on alpaca fiber than gold or silver. The knowledge and craftsmanship of spinning and knitting have been passed down from generation to generation, resulting in the rich, diverse textile heritage of Peru. New patterns are combined with traditional methods, giving an innovative touch without losing the ethical heritage. </span></p>
<p><span>Material: 100% Baby Alpaca. </span></p>
<p><span>Measurements: L 67"" x W 21""+ fringe. </span></p>
<p><span>Eyhically Sourced + Fair Trade + made in Peru.</span></p>",Thnk ,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,"","",true,Title,Default Title,,,,,,,,196704542219,198.446661875,shopify,deny,manual,112.00,,true,true,"",https://cdn.shopify.com/s/files/1/0659/1450/3415/files/946807cda7947d922780086cc322ec9d57694a942bc28dd22c101a296c96f2a8.webp?v=1729888116,1,"",false,,,177,,adult,,,,,,,,,,,adults,,,,,,,,gray,,,,,,,,,,wool,,,,,,,,,,,,regular,,,,,,,,,,,,,unisex,,,oz,,56.00,true,,,true,,,active
andes-charcoal-baby-alpaca-scarf,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0659/1450/3415/files/76d5a08c87d21b2771199b3949ff7ee5a8fa105ebb796f580b1ce6b45722cc1b.webp?v=1729888125,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rothschild-throw-pillow,Rothschild Throw Pillow,"<p class=""p1"">Decorative throw pillows are the best way to elevate your space. These throw pillows are made in the USA with the finest fabrics and the best attention to detail. The Rothschild is hand-crafted with super soft velvet fabric. </p>
<ul class=""ul1"">
<li class=""li1"">Reversible 24"" x 24"" throw pillow with the same fabric on both sides. </li>
<li class=""li1"">Includes a hidden zipper for easy cover removal and cleaning. </li>
<li class=""li1"">Includes a 95/5 feather down insert or a 100% poly fiber insert for outdoor styles.<span class=""Apple-converted-space""> </span>
</li>
<li class=""li1"">All four sides have a clean knife-edge finish. </li>
<li class=""li1"">Proudly made for you in the USA! </li>
<li class=""li1"">Spot clean as needed and lay flat to dry. </li>
<li class=""li1"">Fabric content: 100% Polyester.<span class=""Apple-converted-space""> </span>
</li>
</ul>
<p> </p>",Thnk ,Home & Garden > Decor > Throw Pillows,"","",true,Title,Default Title,,,,,,,,P24-ROTHS-JADE,1360.77711,shopify,deny,manual,64.00,,true,true,"",https://cdn.shopify.com/s/files/1/0659/1450/3415/files/9e35fb1ceb5aa29b332666600cd7d0d1154d55e8b67241dfd7904518f74d3545.webp?v=1729804588,1,"",false,,,4454,,,,,,,,,,,,,,,,,,,,,,,,,polyester,,,,,,,feathers; polyester,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,43.40,true,,,true,,,active
rothschild-throw-pillow,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0659/1450/3415/files/62efc73f3f168aa1af403ba0e263ac6b032397994b3b28e59ba2fce2e30d4a72.webp?v=1729804603,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverdale-lumbar-pillow,Riverdale Lumbar Pillow,"<p class=""p1"">Decorative lumbar pillows are the best way to elevate your space. Our designer pillows come in a variety of colors and sizes to refresh any room. With the finest attention to detail. The Riverdale Lumbar Pillow is made in the USA and features chenille plush velvet fabric.</p>
<ul class=""ul1"">
<li class=""li1"">Reversible <meta charset=""utf-8"">12"" x 18"" lumbar pillow with the same fabric on both sides. </li>
<li class=""li1"">Includes a hidden zipper for easy cover removal and cleaning. </li>
<li class=""li1"">Includes a 95/5 feather down insert or a 100% poly fiber insert for outdoor styles.<span class=""Apple-converted-space""> </span>
</li>
<li class=""li1"">All four sides have a clean knife-edge finish. </li>
<li class=""li1"">Proudly made for you in the USA! </li>
<li class=""li1"">Spot clean as needed and lay flat to dry. </li>
<li class=""li1"">High-quality fabric made of 100% Polyester.<span class=""Apple-converted-space""> </span>
</li>
</ul>",Thnk ,Home & Garden > Decor > Throw Pillows,"","",true,Title,Default Title,,,,,,,,P18-RIVER-WMELON,1133.980925,shopify,deny,manual,39.00,,true,true,"",https://cdn.shopify.com/s/files/1/0659/1450/3415/files/36d048b16bcb280bd29e528aee6848497eb414a354626b90d818cbdeb8117a57.jpg?v=1729804283,1,"",false,,,4454,,,,,,,,,,,,,,,,,,,,,,,,,polyester,,,,,,,feathers; polyester,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,28.40,true,,,true,,,active
riverdale-lumbar-pillow,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0659/1450/3415/files/1899c3b2a9733414afe0ca12528d8ed61b5abe8bc6cb1eb19078866e5352e9b0.jpg?v=1729804293,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leehi-throw-pillow,Leehi Throw Pillow,"<p><meta charset=""utf-8""><span>Decorative throw pillows are the best way to elevate your space. Our designer toss pillows come in a variety of colors and sizes to refresh any room. These beautiful throw pillows are made in the USA with the finest fabrics and the best attention to detail. </span></p>
<ul class=""ul1"">
<li class=""li1"">Reversible throw pillow with the same fabric on both sides. </li>
<li class=""li1"">Includes a hidden zipper for easy cover removal and cleaning. </li>
<li class=""li1"">Includes a 95/5 feather down insert or a 100% poly fiber insert for outdoor styles.<span class=""Apple-converted-space""> </span>
</li>
<li class=""li1"">All four sides have a clean knife-edge finish. </li>
<li class=""li1"">Proudly made for you in the USA! </li>
<li class=""li1"">Spot clean as needed and lay flat to dry. </li>
<li class=""li1"">Fabric content: 100% Cotton<span class=""Apple-converted-space""> </span>
</li>
</ul>",Thnk ,Home & Garden > Decor > Throw Pillows,"","",true,Title,Default Title,,,,,,,,P22-LEEHI,1360.77711,shopify,deny,manual,59.00,,true,true,"",https://cdn.shopify.com/s/files/1/0659/1450/3415/files/aabf14c496c9c690793732dcf9f25c4fe781452fd91d836e96728b84419c7954.webp?v=1729803610,1,"",false,,,4454,,,,,,,,,,,,,,,,,,,,,,,,,cotton,,,,,,,feathers,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,37.45,true,,,true,,,active
leehi-throw-pillow,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0659/1450/3415/files/e72933effedec4c26d734494da631b6acd73c519f1e241c6b6422f633412ca62.webp?v=1729803618,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elvira-lumbar-pillow,Elvira Lumbar Pillow,"<p><meta charset=""utf-8""><span>Decorative lumbar pillows are the best way to elevate your space. Our designer lumbar pillows come in a variety of colors and sizes to refresh any room. All of our lumbar throw pillows are made in the USA with the finest fabrics and the best attention to detail. The Elvira Throw Pillow is a jungle-cat inspired textile, printed on glossy cut velvet fabric.</span></p>
<ul class=""ul1"">
<li class=""li1"">Reversible 12"" x 18"" lumbar pillow with the same fabric on both sides. </li>
<li class=""li1"">Includes a hidden zipper for easy cover removal and cleaning. </li>
<li class=""li1"">Includes a 95/5 feather down insert or a 100% poly fiber insert for outdoor styles.<span class=""Apple-converted-space""> </span>
</li>
<li class=""li1"">All four sides have a clean knife-edge finish. </li>
<li class=""li1"">Proudly made for you in the USA! </li>
<li class=""li1"">Spot clean as needed and lay flat to dry. </li>
<li class=""li1"">Fabric content: 62% Rayon, 32% Polyester, 6% Cotton<span class=""Apple-converted-space""> </span>
</li>
</ul>",Thnk ,Home & Garden > Decor > Throw Pillows,"","",true,Title,Default Title,,,,,,,,P18-ELV-SMOKE,1133.980925,shopify,deny,manual,39.00,,true,true,"",https://cdn.shopify.com/s/files/1/0659/1450/3415/files/0e0975d1c6af408643ad8e5d3c23c7dfc9b0e8c1148c35031c5edb4d5abb52ef.jpg?v=1729803262,1,"",false,,,4454,,,,,,,,,,,,,,,,,,,,,,,,,polyester; cotton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,28.40,true,,,true,,,active
elvira-lumbar-pillow,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0659/1450/3415/files/9eef968b385f3b0993491040ef46f7b3b55a12ac200239f3945413def6b7bcc8.webp?v=1729803270,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
